start_station_id,start_station_name,gbfs_name,gbfs_id
4677.06,Montague St & Clinton St,Montague St & Clinton St,66ddb7bf-0aca-11e7-82f6-3863bb44ef7c
6560.15,Broadway & W 38 St,Broadway & W 38 St,0fde06c2-632c-46a9-8866-f4e855604f74
4166.08,Prospect Pl & 6 Ave,Prospect Pl & 6 Ave,66de5ace-0aca-11e7-82f6-3863bb44ef7c
4175.14,Douglass St & 4 Ave,Douglass St & 4 Ave,66de602e-0aca-11e7-82f6-3863bb44ef7c
5977.01,McGuinness Blvd & Eagle St,McGuinness Blvd & Eagle St,66dd2208-0aca-11e7-82f6-3863bb44ef7c
5311.08,Division St & Bowery,Division St & Bowery,1960020540642077008
5659.05,E 10 St & Ave A,E 10 St & Ave A,66dc1beb-0aca-11e7-82f6-3863bb44ef7c
6089.11,E 26 St & 3 Ave,E 26 St & 3 Ave,7c7cb750-6613-48a4-bfae-9240968f1fad
4348.07,Carroll St & Columbia St,Carroll St & Columbia St,66de44ba-0aca-11e7-82f6-3863bb44ef7c
6389.09,E 39 St & Lexington Ave,E 39 St & Lexington Ave,de0c1800-f7cc-41b4-ab7a-c9d219180d06
5886.13,E 20 St & FDR Dr,E 20 St & FDR Dr,c7ffe3fa-9cd6-4d35-9060-7d5822381442
6953.08,E 74 St & 1 Ave,E 74 St & 1 Ave,66de2556-0aca-11e7-82f6-3863bb44ef7c
7670.09,Adam Clayton Powell Blvd & W 118 St,Adam Clayton Powell Blvd & W 118 St,138094a0-cd7d-4014-9b21-4fb2afd3980e
5788.13,Lafayette St & E 8 St,Lafayette St & E 8 St,66db65aa-0aca-11e7-82f6-3863bb44ef7c
6593.15,6 Ave & W 45 St,6 Ave & W 45 St,904930bd-2671-4695-9c1a-8a894b041129
5270.09,Market St & Henry St,Market St & Henry St,99142ec8-c0e7-47ca-916c-c1097d48e133
3987.06,5 Ave & 3 St,5 Ave & 3 St,66de2199-0aca-11e7-82f6-3863bb44ef7c
3593.1,Flatbush Ave & Lincoln Rd,Flatbush Ave & Lincoln Rd,0258da92-f770-4acc-b20b-91b78aff791e
4853.06,Bridge St & York St,Bridge St & York St,c38e2cfc-04e6-419c-8bf8-d8713ccf6ea7
5847.01,Christopher St & Greenwich St,Christopher St & Greenwich St,66dbc8f5-0aca-11e7-82f6-3863bb44ef7c
4319.07,Halsey St & Tompkins Ave,Halsey St & Tompkins Ave,66dcbdc2-0aca-11e7-82f6-3863bb44ef7c
7388.10,Riverside Dr & W 82 St,Riverside Dr & W 82 St,66dd4ec7-0aca-11e7-82f6-3863bb44ef7c
4095.10,Van Brunt St & Van Dyke St,Van Brunt St & Van Dyke St,633fbc4c-7617-47ba-a393-aad7a8d26a3e
5626.15,1 Ave & E 6 St,1 Ave & E 6 St,c37931bb-8571-4671-a9a8-f3cf23897680
5539.06,Laight St & Hudson St,Laight St & Hudson St,66db402c-0aca-11e7-82f6-3863bb44ef7c
4513.06,DeKalb Ave & Hudson Ave,DeKalb Ave & Hudson Ave,66db89a3-0aca-11e7-82f6-3863bb44ef7c
5419.04,N 5 St & Wythe Ave,N 5 St & Wythe Ave,1786697003367719132
4293.05,Chauncey St & Howard Ave,Chauncey St & Howard Ave,079b5a90-1d2b-40b2-b1e9-71c075f16b89
5721.07,Thompson St & Bleecker St,Thompson St & Bleecker St,b6a4770e-9077-4a0e-a0fb-b45b1d457559
6310.06,27 St & Hunter St,27 St & Hunter St,72796825-88b1-43a0-bb6d-2b41d337b1fc
5125.07,Broadway & Roebling St,Broadway & Roebling St,66dced76-0aca-11e7-82f6-3863bb44ef7c
5584.04,E 6 St & Ave B,E 6 St & Ave B,66db76a1-0aca-11e7-82f6-3863bb44ef7c
5736.09,E 14 St & Ave B,E 14 St & Ave B,66dc7ba2-0aca-11e7-82f6-3863bb44ef7c
3940.04,Sigourney St & Columbia St,Sigourney St & Columbia St,66de18d7-0aca-11e7-82f6-3863bb44ef7c
5553.10,E 2 St & Ave A,E 2 St & Ave A,93e2e1a5-49c5-41f8-a6bf-b399b6a5140d
4432.10,Central Ave & Decatur St,Central Ave & Decatur St,3c8847a6-c12a-40fd-9b22-4582ac1a0d9d
4310.06,Macon St & Lewis Ave,Macon St & Lewis Ave,96878d29-481d-48dc-bcdc-a5f1ce88c76d
5553.03,E 3 St & 1 Ave,E 3 St & 1 Ave,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c
4184.08,President St & Hoyt St,President St & Hoyt St,1914337145288845316
6566.01,Southpoint Park,Southpoint Park,ad17bd9a-735b-4a11-8ad3-dc7800e342af
6046.02,E 25 St & 2 Ave,E 25 St & 2 Ave,66dc7957-0aca-11e7-82f6-3863bb44ef7c
4455.11,Kane St & Clinton St,Kane St & Clinton St,66ddeb67-0aca-11e7-82f6-3863bb44ef7c
4330.09,Hoyt St & Warren St,Hoyt St & Warren St,66de6346-0aca-11e7-82f6-3863bb44ef7c
6740.01,W 52 St & 6 Ave,W 52 St & 6 Ave,66de8a86-0aca-11e7-82f6-3863bb44ef7c
5838.09,Washington Pl & 6 Ave,Washington Pl & 6 Ave,66dbcf18-0aca-11e7-82f6-3863bb44ef7c
4861.05,Henry St & Middagh St,Henry St & Middagh St,c1c33a35-751f-4dd6-baef-82db46f7ab46
3934.07,Troy Ave & Park Pl,Troy Ave & Park Pl,c7dbc7b5-240b-494d-8663-dbee4103a20c
3996.01,7 St & 3 Ave,7 St & 3 Ave,66de4c32-0aca-11e7-82f6-3863bb44ef7c
7253.04,Central Park W & W 76 St,Central Park W & W 76 St,66dd4ac1-0aca-11e7-82f6-3863bb44ef7c
5288.12,Murray St & Greenwich St,Murray St & Greenwich St,66dea894-0aca-11e7-82f6-3863bb44ef7c
8172.07,Amsterdam Ave & W 162 St,Amsterdam Ave & W 162 St,bc9c9006-3d40-400d-8b5c-17f56e6dfcee
6584.12,E 47 St & Park Ave,E 47 St & Park Ave,66dbc982-0aca-11e7-82f6-3863bb44ef7c
5520.09,N 15 St & Wythe Ave,N 15 St & Wythe Ave,66dd1ad8-0aca-11e7-82f6-3863bb44ef7c
